ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
001,Adamantina,,,,,,R$ 8.283.795,35.5%,2.673,001_Adamantina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/001_Adamantina.pdf
002,Adolfo,,,,,,R$ 3.058.206,50.37%,732,002_Adolfo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/002_Adolfo.pdf
003,Aguaí,,,,,,R$ 12.898.505,41.8%,3.818,003_Aguaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/003_Agua%C3%AD.pdf
004,Águas da Prata,,,,,,R$ 2.539.932,69.61%,476,004_Águas_da_Prata.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/004_%C3%81guas_da_Prata.pdf
005,Águas de Lindóia,,,,,,R$ 4.829.715,23.78%,2.279,005_Águas_de_Lindóia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/005_%C3%81guas_de_Lind%C3%B3ia.pdf
006,Águas de Santa Bárbara,,,,,,R$ 3.354.880,49.75%,819,006_Águas_de_Santa_Bárbara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/006_%C3%81guas_de_Santa_B%C3%A1rbara.pdf
007,Águas de São Pedro,,,,,,R$ 1.719.348,24.75%,716,007_Águas_de_São_Pedro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/007_%C3%81guas_de_S%C3%A3o_Pedro.pdf
008,Agudos,,,,,,R$ 12.030.294,36.78%,3.878,008_Agudos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/008_Agudos.pdf
009,Alambari,,,,,,R$ 2.902.098,55.02%,661,009_Alambari.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/009_Alambari.pdf
010,Alfredo Marcondes,,,,,,R$ 1.268.711,64.64%,195,010_Alfredo_Marcondes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/010_Alfredo_Marcondes.pdf
011,Altair,,,,,,R$ 1.438.918,44.04%,385,011_Altair.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/011_Altair.pdf
012,Altinópolis,,,,,,R$ 3.127.868,15.74%,2.057,012_Altinópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/012_Altin%C3%B3polis.pdf
013,Alto Alegre,,,,,,R$ 1.568.697,62.8%,316,013_Alto_Alegre.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/013_Alto_Alegre.pdf
014,Alumínio,,,,,,R$ 8.515.844,37.62%,2.638,014_Alumínio.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/014_Alum%C3%ADnio.pdf
015,Álvares Florence,,,,,,R$ 1.474.566,38.64%,400,015_Álvares_Florence.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/015_%C3%81lvares_Florence.pdf
016,Álvares Machado,,,,,,R$ 10.828.487,38.01%,3.642,016_Álvares_Machado.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/016_%C3%81lvares_Machado.pdf
017,Álvaro de Carvalho,,,,,,R$ 1.599.613,53.74%,345,017_Álvaro_de_Carvalho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/017_%C3%81lvaro_de_Carvalho.pdf
018,Alvinlândia,,,,,,R$ 1.742.008,52.17%,406,018_Alvinlândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/018_Alvinl%C3%A2ndia.pdf
019,Americana,,,,,,R$ 38.988.651,33.73%,13.519,019_Americana.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/019_Americana.pdf
020,Américo Brasiliense,,,,,,R$ 16.377.539,41.56%,4.853,020_Américo_Brasiliense.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/020_Am%C3%A9rico_Brasiliense.pdf
021,Américo de Campos,,,,,,R$ 1.495.188,20.62%,770,021_Américo_de_Campos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/021_Am%C3%A9rico_de_Campos.pdf
022,Amparo,,,,,,R$ 17.086.013,38.5%,5.192,022_Amparo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/022_Amparo.pdf
023,Ibirarema,,,,,,R$ 2.508.957,44.91%,687,023_Ibirarema.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/023_Ibirarema.pdf
024,Analândia,,,,,,R$ 3.588.239,51.78%,847,024_Analândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/024_Anal%C3%A2ndia.pdf
025,Andradina,,,,,,R$ 16.203.052,40.12%,4.788,025_Andradina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/025_Andradina.pdf
026,Angatuba,,,,,,R$ 14.394.194,45.52%,3.761,026_Angatuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/026_Angatuba.pdf
027,Anhembi,,,,,,R$ 4.380.013,50.82%,1.093,027_Anhembi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/027_Anhembi.pdf
028,Anhumas,,,,,,R$ 1.597.152,41.64%,442,028_Anhumas.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/028_Anhumas.pdf
029,Aparecida,,,,,,R$ 16.310.637,43.54%,4.626,029_Aparecida.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/029_Aparecida.pdf
030,Aparecida DOeste,,,,,,R$ 1.567.629,49.35%,360,030_Aparecida_DOeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/030_Aparecida_DOeste.pdf
031,Apiaí,,,,,,R$ 3.900.175,19.38%,2.063,031_Apiaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/031_Apia%C3%AD.pdf
032,Araçariguama,,,,,,R$ 13.693.373,41.23%,4.193,032_Araçariguama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/032_Ara%C3%A7ariguama.pdf
033,Araçatuba,,,,,,R$ 47.876.854,32.9%,16.533,033_Araçatuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/033_Ara%C3%A7atuba.pdf
034,Araçoiaba da Serra,,,,,,R$ 18.700.768,44.48%,5.258,034_Araçoiaba_da_Serra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/034_Ara%C3%A7oiaba_da_Serra.pdf
035,Aramina,,,,,,R$ 2.548.334,57.41%,549,035_Aramina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/035_Aramina.pdf
036,Arandu,,,,,,R$ 2.799.856,41.43%,832,036_Arandu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/036_Arandu.pdf
037,Arapeí,,,,,,R$ 1.928.945,69.01%,370,037_Arapeí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/037_Arape%C3%AD.pdf
038,Araraquara,,,,,,R$ 48.206.846,30.72%,17.610,038_Araraquara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/038_Araraquara.pdf
039,Araras,,,,,,R$ 50.215.796,41.83%,14.895,039_Araras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/039_Araras.pdf
040,Arco-Íris,,,,,,R$ 1.086.877,61.31%,206,040_Arco-Íris.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/040_Arco-%C3%8Dris.pdf
