ORDEM,MUNICIPIO,NOME_PREFEITO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,LINK_LANDING_PAGE,MENSAGEM_WHATSAPP
001,Adamantina,,,R$ 8.283.795,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Adamantina,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 8.283.795* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
002,Adolfo,,,R$ 3.058.206,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Adolfo,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.058.206* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
003,Aguaí,,,R$ 12.898.505,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Aguaí,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 12.898.505* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
004,Águas da Prata,,,R$ 2.539.932,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Águas da Prata,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.539.932* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
005,Águas de Lindóia,,,R$ 4.829.715,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Águas de Lindóia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.829.715* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
006,Águas de Santa Bárbara,,,R$ 3.354.880,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Águas de Santa Bárbara,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.354.880* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
007,Águas de São Pedro,,,R$ 1.719.348,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Águas de São Pedro,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.719.348* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
008,Agudos,,,R$ 12.030.294,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Agudos,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 12.030.294* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
009,Alambari,,,R$ 2.902.098,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Alambari,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.902.098* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
010,Alfredo Marcondes,,,R$ 1.268.711,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Alfredo Marcondes,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.268.711* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
